ROIs	HH	HR
DefaultMode.MPFC	2.8e-05	0.063318
DefaultMode.LP_L	0.004656	0.007413
DefaultMode.LP_R	0.000267	0.002366
DefaultMode.PCC	0.062429	0.081987
SensoriMotor.Lateral_L	0.0	0.0
SensoriMotor.Lateral_R	1.4e-05	3e-06
SensoriMotor.Superior	0.010102	0.022356
Visual.Medial	0.0	1.7e-05
Visual.Occipital	0.00048	0.126049
Visual.Lateral_L	0.000396	0.012357
Visual.Lateral_R	3e-06	6.6e-05
Salience.ACC	0.0	0.0
Salience.AInsula_L	1e-05	0.200163
Salience.AInsula_R	0.035518	2.9e-05
Salience.RPFC_L	0.000466	0.000279
Salience.RPFC_R	0.001268	0.330582
Salience.SMG_L	0.329669	0.041576
Salience.SMG_R	0.04098	0.01483
DorsalAttention.FEF_L	7e-05	0.002638
DorsalAttention.FEF_R	0.002211	0.001412
DorsalAttention.IPS_L	0.007692	0.00014
DorsalAttention.IPS_R	0.008675	0.023854
FrontoParietal.LPFC_L	0.005399	0.000686
FrontoParietal.PPC_L	0.000305	0.003511
FrontoParietal.LPFC_R	0.325574	0.035973
FrontoParietal.PPC_R	0.001114	0.001963
Language.IFG_L	0.000454	0.002472
Language.IFG_R	0.005041	0.016877
Language.pSTG_L	0.0	2e-06
Language.pSTG_R	0.0	0.0
Cerebellar.Anterior	0.018466	0.01502
Cerebellar.Posterior	0.034555	0.007737
